program_id,school_name,city,state,degree_type,program_url,url_status,search_attempts,url_confidence,discovered_url,discovered_url_2,search_query_used,scrape_notes,estimated_year
349,"Nova Southeastern University, Ft. Lauderdale",,Florida,MOT,,url_found,3,high,https://www.nova.edu/bursar/billing/tuition-fees.html,https://osteopathic.nova.edu/admissions/tuition-fees.html,"Nova Southeastern University, Ft. Lauderdale Master of Occupational Therapy tuition cost of attendance",,
338,"Nova Southeastern University, Tampa Bay Regional Campus",,Florida,OTD,,url_found,3,high,https://osteopathic.nova.edu/admissions/tuition-fees.html,https://md.nova.edu/admissions/tuition-fees.html,"Nova Southeastern University, Tampa Bay Regional Campus Doctor of Occupational Therapy tuition cost of attendance",,
339,University of Florida,,Florida,OTD,,url_found,3,medium,https://phhp.ufl.edu/academics/phd-and-professional-programs/occupational-therapy-doctorate/tuition-and-scholarship/otd-estimated-cost-of-attendance/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-occupational-therapy/otd-tuition-fees/,University of Florida Doctor of Occupational Therapy tuition cost of attendance,,
350,"University of St. Augustine for Health Sciences, Miami Campus",,Florida,MOT,,url_found,3,medium,https://www.usa.edu/college-of-rehabilitative-sciences/master-of-occupational-therapy-mot/mot-tuition-fees/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-occupational-therapy/otd-tuition-fees/,"University of St. Augustine for Health Sciences, Miami Campus Master of Occupational Therapy tuition cost of attendance",,
340,"University of St. Augustine for Health Sciences, Miami Campus",,Florida,OTD,,url_found,3,medium,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-occupational-therapy/otd-tuition-fees/,https://www.usa.edu/college-of-rehabilitative-sciences/master-of-occupational-therapy-mot/mot-tuition-fees/,"University of St. Augustine for Health Sciences, Miami Campus Doctor of Occupational Therapy tuition cost of attendance",,
351,"University of St. Augustine for Health Sciences, St. Augustine Campus",,Florida,MOT,,url_found,3,medium,https://www.usa.edu/college-of-rehabilitative-sciences/master-of-occupational-therapy-mot/mot-tuition-fees/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-occupational-therapy/otd-tuition-fees/,"University of St. Augustine for Health Sciences, St. Augustine Campus Master of Occupational Therapy tuition cost of attendance",,
341,"University of St. Augustine for Health Sciences, St. Augustine Campus",,Florida,OTD,,url_found,3,medium,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-occupational-therapy/otd-tuition-fees/,https://www.usa.edu/college-of-rehabilitative-sciences/master-of-occupational-therapy-mot/mot-tuition-fees/,"University of St. Augustine for Health Sciences, St. Augustine Campus Doctor of Occupational Therapy tuition cost of attendance",,
354,Augusta University,,Georgia,MOT,,url_found,3,high,https://www.augusta.edu/tuition/graduate.php,https://www.augusta.edu/finaid/costofattendance.php,Augusta University Master of Occupational Therapy tuition cost of attendance,,
355,Brenau University,,Georgia,MOT,,url_found,3,high,https://research.com/best-colleges/brenau-university/tuition-fees,https://www.brenau.edu/admissions/tuition/,Brenau University Master of Occupational Therapy tuition cost of attendance,,
352,"Brenau University, North Atlanta, Norcross Campus",,Georgia,OTD,,url_found,3,high,https://research.com/best-colleges/brenau-university/tuition-fees,https://www.brenau.edu/admissions/tuition/,"Brenau University, North Atlanta, Norcross Campus Doctor of Occupational Therapy tuition cost of attendance",,
353,Georgia State University,,Georgia,OTD,,url_found,3,medium,https://www.uws.edu/2025-2026-tuition-and-cost-of-attendance-details-doctor-of-occupational-therapy/,https://www.south.edu/doctor-of-occupational-therapy-tuition-costs-and-fees/,Georgia State University Doctor of Occupational Therapy tuition cost of attendance,,2025
356,Middle Georgia State University,,Georgia,MOT,,url_found,3,medium,https://www.mga.edu/financial-aid/cost-of-attendance.php,https://mga.smartcatalogiq.com/en/2021-2022/the-office-of-graduate-studies-academic-catalog/student-fees-and-financial-policies/payment-of-tuition-and-fees/fees,Middle Georgia State University Master of Occupational Therapy tuition cost of attendance,,
357,Idaho State University,,Idaho,MOT,,url_found,3,high,https://www.uidaho.edu/financial-aid/cost-of-attendance,https://www.isu.edu/financeadmin/departments/student-financial-services/cost-of-attendance/fall--spring-cost-info/professional-fees/,Idaho State University MOT tuition fees cost,,
360,Chicago State University,,Illinois,MOT,,url_found,3,high,https://research.com/best-colleges/chicago-state-university/tuition-fees,https://www.csu.edu/financialoperations/bursar/tuition/,Chicago State University Master of Occupational Therapy tuition cost of attendance,,
