school_code,school_name,city,state,degree_type,board_pass_rate_first_time_2yr,board_pass_rate_ultimate_2yr,graduates_tested,program_length_months,tuition_per_year,tuition_instate,tuition_is_oos,total_program_cost,total_program_cost_instate,cost_source_url
1003,University of Florida,,Florida,DPT,89.9,99.32,148.0,36.0,22722.0,,,68165.0,,https://phhp.ufl.edu/academics/phd-and-professional-programs/physical-therapy-doctorate/admissions/student-financial-fact-sheet/
1004,University of Miami,,Florida,DPT,90.4,98.25,114.0,36.0,44550.0,,,145860.0,,https://med.miami.edu/-/media/millerschool/departments/physical-therapy/pdfs/2025-dpt-student-financial-fact-sheet.ashx?rev=1c5f3638fce64cb19bc0ef7133b7d8f0&hash=6985CDC826FA16007A3F3054DAF06073
1014,University of North Florida,,Florida,DPT,84.5,98.28,58.0,36.0,62784.0,,,188352.0,,https://www.unf.edu/controller/student-financial-services/dpt-tuition.html
1016,University of Central Florida,,Florida,DPT,97.4,100.0,77.0,36.0,68209.0,,,141072.0,,https://healthprofessions.ucf.edu/physicaltherapy/admissions/
1017,Nova Southeastern University - Ft Lauderdale,,Florida,DPT,97.7,100.0,86.0,32.0,33465.0,,,127874.0,,https://osteopathic.nova.edu/documents/physical-therapy/fort-lauderdale-dpt-student-financial-fact-sheet.pdf
1019,University of St Augustine for Health Sciences - Florida,,Florida,DPT,82.4,98.89,261.0,28.0,,,,119899.0,,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/dpt-tuition-fees/
1029,Florida Gulf Coast University,,Florida,DPT,96.4,100.0,56.0,33.0,,,,,,https://www.fgcu.edu/mariebcollege/rehabilitationsciences/physicaltherapy/doctorofphysicaltherapy-dpt
1030,University of South Florida,,Florida,DPT,96.7,100.0,92.0,,,,,,,
1035,Nova Southeastern University - Tampa,,Florida,DPT,94.9,100.0,78.0,36.0,33465.0,,,136868.0,,https://osteopathic.nova.edu/documents/physical-therapy/2025-tampa-dpt-student-financial-fact-sheet.pdf
1036,University of St Augustine for Health Sciences -  ONLINE FLEX EXPANSION PROGRAM in Florida,,Florida,DPT,77.5,93.9,80.0,36.0,,,,,,
1052,University of St Augustine for Health Sciences -  EXPANSION PROGRAM in Miami,,Florida,DPT,69.5,95.47,249.0,36.0,48000.0,,,144000.0,,https://www.unf.edu/brooks/physical-therapy/files/certified.rf.2025-2026-dpt-student-financial-fact-sheet.docx
1053,Gannon University - Florida,,Florida,DPT,83.7,98.0,49.0,36.0,53018.0,,,165255.0,,https://www.gannon.edu/media/gannon-university/content-assets/documents/programs/GannonUniversity-dpt-ruskin-student-financial-fact-sheet.pdf
1057,AdventHealth University,,Florida,DPT,83.3,100.0,42.0,,41600.0,,,119215.0,,https://www.ahu.edu/programs/doctor-of-physical-therapy/tuition-and-fees
1060,Florida Southern College,,Florida,DPT,83.1,95.59,65.0,28.0,54036.0,,,157400.0,,https://www.flsouthern.edu/getmedia/abf7b447-5814-452d-9bea-4e8df69c3b77/FSC-CAPTE-Student-Financial-Fact-Sheet.pdf
1101,Emory University,,Georgia,DPT,94.1,99.15,118.0,36.0,43066.0,,,169127.0,,https://med.emory.edu/departments/rehabilitation-medicine/_documents/dpt-student-financial-fact-sheet_dectwentyfive.pdf
1102,Georgia State University,,Georgia,DPT,96.4,100.0,83.0,,16447.0,,0.0,19005.0,,https://lewis.gsu.edu/files/2024/10/FactSheet24-25.pdf
