State,School Code,School,First-Time Pass Rate  2023-2024,Graduates who took  the NPTE 2023-2024
MN,2402,Mayo Clinic School of Health Sciences,96.3,54
MN,2403,University of Minnesota,87.2,117
MN,2404,St. Catherine University,97.1,69
MN,2412,Concordia University - Saint Paul,87.3,63
MO,2601,Maryville University of Saint Louis,98.6,72
MO,2602,Rockhurst University,80.7,88
MO,2603,Saint Louis University,94.3,157
MO,2604,University of Missouri,97.4,113
MO,2605,Washington University in St Louis,86.7,188
MO,2614,Southwest Baptist University,67.9,140
MO,2616,Missouri State University,86.7,75
MS,2501,University of Mississippi at the Medical Center,83.5,85
MS,2506,William Carey University,90.5,42
MT,2701,University of Montana - Missoula,93.2,74
NC,3401,Duke University,82.6,184
NC,3402,East Carolina University,93.7,63
NC,3403,University of North Carolina at Chapel Hill,94.9,59
NC,3411,Winston-Salem State University,78.9,52
NC,3412,Western Carolina University,85.0,93
NC,3414,Elon University,88.9,81
NC,3418,Campbell University,90.4,83
NC,3419,Wingate University,96.1,76
NC,3421,High Point University,77.4,124
NC,3422,Methodist University,78.1,73
ND,3501,University of North Dakota,85.7,91
ND,3503,University of Mary,77.3,88
ND,3504,University of Jamestown,88.9,54
NE,2801,University of Nebraska Medical Center,92.0,125
NE,2804,Creighton University,85.2,162
NE,2809,College of St. Mary,52.6,38
NH,3005,Franklin Pierce University - NH,77.9,113
NH,3006,Plymouth State University,75.0,48
NJ,3101,"Rutgers, The State University of New Jersey",88.2,127
NJ,3107,Stockton University,82.0,61
NJ,3110,Seton Hall University,89.2,74
NJ,3111,Kean University,91.7,36
NM,3201,University of New Mexico,98.0,50
NV,2901,"University of Nevada, Las Vegas",93.7,95
NV,2902,Touro University - Nevada,81.1,74
NY,0101,Columbia University,92.3,143
NY,0102,Daemen University,94.5,127
NY,0103,Hunter College (CUNY),87.5,56
NY,0104,Ithaca College,90.4,135
NY,0105,Long Island University - Brooklyn Campus,71.6,74
NY,0106,New York University,70.1,77
NY,0107,Russell Sage College,78.4,74
NY,0108,"University at Buffalo, State University of New York",88.0,83
NY,0109,SUNY (State University of NY) Downstate Health  Sciences University,89.7,39
NY,0110,Stony Brook University,82.1,95
NY,0111,State University of NY Upstate Medical University,82.2,73
NY,0112,Touro University,78.7,61
NY,0121,D'youville College,71.1,83
NY,0125,The College of Staten Island,85.7,42
NY,0126,Mercy University,79.8,79
NY,0127,New York Medical College,72.4,87
NY,0128,Utica University,77.3,66
NY,0136,New York Institute of Technology,78.8,66
NY,0137,Clarkson University,69.7,33
NY,0138,Nazareth University,88.9,99
NY,0139,Dominican University New York,90.5,42
NY,0140,Touro University - EXPANSION PROGRAM at NYC,83.3,60
NY,0141,Stony Brook University - Expansion Program at  Southampton Campus,76.7,60
NY,0144,Marist College,86.5,37
OH,3601,Cleveland State University,92.9,70
OH,3602,University of Toledo,89.0,82
OH,3603,Ohio University,93.8,97
OH,3604,Ohio State University,97.9,96
OH,3617,University of Findlay - Weekend,93.7,63
OH,3618,University of Cincinnati,94.6,74
OH,3619,Youngstown State University,76.0,75
OH,3624,Mount St Joseph University,91.6,71
OH,3627,Walsh University,85.5,69
OH,3628,University of Findlay - Traditional,83.3,60
OH,3630,University of Dayton,82.6,69
OH,3641,University of Mount Union,67.8,59
OH,3644,Bowling Green State University,43.9,82
OK,3701,Langston University,60.0,25
OK,3702,University of Oklahoma Health Sciences Center,80.2,131
OK,3712,Oklahoma City University,69.1,42
OR,3801,Pacific University,88.1,101
OR,3805,George Fox University,83.3,90
OR,3806,Western University of Health Sciences - Oregon,63.6,44
OR,3807,Oregon State University - Cascades,95.5,44
PA,3901,Arcadia University,85.3,129
PA,3902,Drexel University,89.3,121
PA,3903,Saint Joseph's University,79.6,132
PA,3904,Temple University,83.5,109
PA,3905,Thomas Jefferson University,92.2,103
PA,3906,University of Pittsburgh,82.0,256
PA,3907,University of Scranton,93.5,77
PA,3916,Slippery Rock University of Pennsylvania,84.9,99
PA,3917,Duquesne University,91.6,71
PA,3918,Gannon University - Pennsylvania,82.1,84
PA,3920,Misericordia University,93.9,82
PA,3921,Chatham University,80.0,70
PA,3922,Widener University,92.1,76
PA,3929,Neumann University,70.3,64
PA,3930,Saint Francis University,100.0,45
PA,3932,Lebanon Valley College,85.3,102
PA,3941,Alvernia University,78.6,56
PA,3942,DeSales University,88.7,53
PA,3944,Messiah University,82.0,61
PA,3945,Arcadia University - Online Hybrid DPT Program,74.8,99
PA,3946,Moravian University,65.1,43
PA,3947,Seton Hill University,38.9,18
PR,5201,University of Puerto Rico - Medical Sciences Campus,77.8,36
RI,4001,University of Rhode Island,85.0,60
SC,4101,Medical University of South Carolina,90.8,131
SC,4106,University of South Carolina - Columbia,89.6,48
SC,4112,Anderson University,92.4,79
SC,4113,Charleston Southern University,65.1,43
SD,4201,University of South Dakota,89.1,64
TN,4301,University of Tennessee Health Science Center,79.2,120
TN,4307,Tennessee State University,90.9,66
TN,4308,University of Tennessee Chattanooga,96.9,65
TN,4310,East Tennessee State University,93.2,74
TN,4312,Belmont University,83.8,111
TN,4315,South College - Knoxville,80.2,353
TN,4319,Lincoln Memorial University,64.9,57
TX,4401,Texas State University,89.4,85
TX,4402,Texas Tech University Health Sciences Center,94.9,136
TX,4403,Texas Woman's University - EXPANSION PROGRAM  in Houston,98.2,110
TX,4405,University of Texas Health Science Center at San  Antonio,95.6,90
