school_name,city,state,degree_type,program_url,outcomes_url,matched_program_id,match_score,match_action
University of St Augustine for Health Sciences-Florida (Expansion 3),St Augustine,FL,DPT,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,91,1.000,url_added
University of St Augustine for Health Sciences-Florida - (Expansion 2),Coral Gables,FL,Doctor of Physical Therapy,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,91,1.000,url_added
University of St Augustine for Health Sciences-Florida - (Expansion),St Augustine,FL,Doctor of Physical Therapy,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,91,1.000,url_added
Augusta University,Augusta,GA,Doctor of Physical Therapy,https://www.augusta.edu/alliedhealth/physical-therapy/,https://www.augusta.edu/alliedhealth/physical-therapy/,102,1.000,url_added
Brenau University,Gainesville,GA,Doctor of Physical Therapy,http://www.brenau.edu/healthsciences/physicaltherapy/,https://www.brenau.edu/healthsciences/physicaltherapy/,106,1.000,url_added
Emory University,Atlanta,GA,Doctor of Physical Therapy,https://med.emory.edu/departments/rehabilitation-medicine/dpt/education/dpt-program/index.html,https://med.emory.edu/departments/rehabilitation-medicine/dpt/about/accreditation.html,100,1.000,url_added
Georgia Southern University,Savannah,GA,Doctor of Physical Therapy,https://chp.georgiasouthern.edu/rehabilitation/graduate-programs/doctor-of-physical-therapy/,https://chp.georgiasouthern.edu/rehabilitation/graduate-programs/doctor-of-physical-therapy/,104,1.000,url_added
Georgia State University,Atlanta,GA,Doctor of Physical Therapy,http://physicaltherapy.gsu.edu/,https://lewis.gsu.edu/pt/pt-about/,101,1.000,url_added
Mercer University,Atlanta,GA,Doctor of Physical Therapy,https://chp.mercer.edu/academics-and-departments/physical-therapy/,https://chp.mercer.edu/academics-and-departments/physical-therapy/dpt-program/class-statistics-outcomes-and-financial-fact-sheet/,105,1.000,url_added
Philadelphia College of Osteopathic Medicine - Georgia,Suwanee,GA,Doctor of Physical Therapy,https://www.pcom.edu/academics/programs-and-degrees/physical-therapy/,https://www.pcom.edu/academics/programs-and-degrees/physical-therapy/outcomes.html,107,0.917,url_added
South College - Atlanta Campus,Atlanta,GA,DPT,https://www.south.edu/programs/doctor-physical-therapy-atlanta/,www.n/a.com,108,0.857,url_added
University of North Georgia,Dahlonega,GA,Doctor of Physical Therapy,https://ung.edu/physical-therapy,https://ung.edu/degrees/graduate/physical-therapy-dpt.php,103,1.000,url_added
Hawai'i Pacific University,Honolulu,HI,Doctor of Physical Therapy,https://www.hpu.edu/gchs/dpt/info.html,https://www.hpu.edu/gchs/dpt/info.html,109,0.980,url_added
Idaho State University,Pocatello,ID,Doctor of Physical Therapy,https://www.isu.edu/pt/,https://www.isu.edu/pt/about/accreditation-and-licensing/,110,1.000,url_added
Bradley University,Peoria,IL,Doctor of Physical Therapy,https://www.bradley.edu/academics/programs/doctor-of-physical-therapy/,https://www.bradley.edu/academics/programs/doctor-of-physical-therapy/,115,1.000,url_added
Governors State University,University Park,IL,Doctor of Physical Therapy,https://www.govst.edu/DPT/,https://www.govst.edu/Academics/Colleges_and_Programs/College_of_Health_and_Human_Services/Departments/Department_of_Physical_Therapy/Doctor_of_Physical_Therapy/Doctor_of_Physical_Therapy_Student_Outcomes/,117,1.000,url_added
Midwestern University - IL,Downers Grove,IL,Doctor of Physical Therapy,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy- program/physical-therapy-downers-grove,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy- program/physical-therapy-downers-grove,116,1.000,url_added
North Central College,Naperville,IL,DPT,https://www.northcentralcollege.edu/program/doctor-physical-therapy,https://www.northcentralcollege.edu/program/doctor-physical-therapy,118,1.000,url_added
Northern Illinois University,DeKalb,IL,Doctor of Physical Therapy,https://www.chhs.niu.edu/ahcd/programs/physical-therapy/dpt/index.shtml,https://www.chhs.niu.edu/ahcd/about/student-outcomes.shtml,111,1.000,url_added
Northwestern University,Chicago,IL,Doctor of Physical Therapy,https://www.feinberg.northwestern.edu/sites/pthms/,https://www.feinberg.northwestern.edu/sites/pthms/education/dpt/class-profile-outcomes.html,112,1.000,url_added
Rosalind Franklin University of Medicine and Science,North Chicago,IL,Doctor of Physical Therapy,https://www.rosalindfranklin.edu/academics/college-of-health-professions/degree-programs/doctor-of-physical-therapy-dpt/,https://www.rosalindfranklin.edu/academics/college-of-health-professions/degree-programs/doctor-of-physical-therapy-dpt/program-overview/,113,1.000,url_added
The University of Illinois at Chicago,Chicago,IL,Doctor of Physical Therapy,https://ahs.uic.edu/physical-therapy/admissions-and-programs/doctor-of-physical-therapy/,https://ahs.uic.edu/physical-therapy/admissions-and-programs/doctor-of-physical-therapy/,114,0.943,url_added
Hanover College,Hanover,IN,Doctor of Physical Therapy,https://dptprogram.hanover.edu/,https://dptprogram.hanover.edu/academics/,124,1.000,url_added
Indiana State University,Terre Haute,IN,Doctor of Physical Therapy,https://indianastate.edu/academics/colleges/health-human-services/amr/dpt,https://indianastate.edu/academics/colleges/health-human-services/amr/dpt,123,1.000,url_added
Indiana University,Indianapolis,IN,Doctor of Physical Therapy,https://shhs.indianapolis.iu.edu/academics/physical-therapy/doctor-physical-therapy/index.html,https://shhs.indianapolis.iu.edu/academics/physical-therapy/doctor-physical-therapy/student-outcomes.html,119,1.000,url_added
Indiana Wesleyan University,Marion,IN,Doctor in Physical Therapy,https://www.indwes.edu/program/doctor-of-physical-therapy/,https://www.indwes.edu/program/doctor-of-physical-therapy/,125,1.000,url_added
Trine University - Angola,Fort Wayne,IN,Doctor of Physical Therapy,https://www.trine.edu/dpt,https://www.trine.edu/academics/majors-degrees/graduate/doctor-physical-therapy/dpt-outcomes.aspx,,0.821,no_match
University of Evansville,Evansville,IN,Doctor of Physical Therapy,https://www.evansville.edu/majors/physicaltherapy/,https://www.evansville.edu/majors/physicaltherapy/,120,1.000,url_added
University of Indianapolis,Indianapolis,IN,Entry-Level Doctor of Physical Therapy,http://uindy.edu/health-sciences/pt/dpt,http://uindy.edu/health-sciences/pt/accreditation,121,1.000,url_added
Allen College,Waterloo,IA,Doctor of Physical Therapy,https://www.allencollege.edu/doctor-of-physical-therapy.aspx,https://www.allencollege.edu/our-programs/school-of-health-sciences/doctor-of-physical-therapy,131,1.000,url_added
Briar Cliff University,Sioux City,IA,Doctor of Physical Therapy,https://www.briarcliff.edu/current-chargers/academics/doctor-of-physical-therapy,https://www.briarcliff.edu/current-chargers/academics/doctor-of-physical-therapy,130,1.000,url_added
Clarke University,Dubuque,IA,Doctor of Physical Therapy,https://www.clarke.edu/academics/doctor-of-physical-therapy/,https://www.clarke.edu/academics/doctor-of-physical-therapy/doctor-physical-therapy-mission-outcomes/,129,1.000,url_added
Des Moines University - Osteopathic Medical Center,West Des Moines,IA,Doctor of Physical Therapy,http://www.dmu.edu/pt/,https://www.dmu.edu/pt/program-outcomes/,127,1.000,url_added
St Ambrose University,Davenport,IA,Doctor of Physical Therapy,www.sau.edu/pt,www.sau.edu/pt,128,1.000,url_added
The University of Iowa,Iowa City,IA,Doctor of Physical Therapy,pt.medicine.uiowa.edu,pt.medicine.uiowa.edu/education/doctor-physical-therapy-program,126,0.850,url_added
University of Kansas Medical Center,Kansas City,KS,Doctor of Physical Therapy,https://www.kumc.edu/school-of-health-professions/academics/departments/physical-therapy-rehabilitation-science-and-athletic-training/academics/doctor-of-physical-therapy.htmlademics/doctor-of-physical-therapy.html?=redirect,https://www.kumc.edu/school-of-health-professions/academics/departments/physical-therapy-rehabilitation-science-and-athletic-training/academics/doctor-of-physical-therapy/accreditation-and-outcomes.html,132,1.000,url_added
University of Saint Mary,Leavenworth,KS,Doctor of Physical Therapy,http://www.stmary.edu/dpt,http://www.stmary.edu/dptoutcomes,134,1.000,url_added
Wichita State University,Wichita,KS,Doctor of Physical Therapy,https://www.wichita.edu/pt,https://www.wichita.edu/academics/health_professions/pt/aboutpt.php,133,1.000,url_added
Bellarmine University,Louisville,KY,Doctor of Physical Therapy,https://www.bellarmine.edu/health-professions/graduate/doctor-of-physical-therapy/,https://www.bellarmine.edu/health-professions/graduate/doctor-of-physical-therapy/outcomes/,136,1.000,url_added
University of the Cumberlands,Williamsburg,KY,DPT,https://www.ucumberlands.edu/academics/graduate/doctor-physical-therapy-dpt,https://www.ucumberlands.edu/academics/graduate/doctor-physical-therapy-dpt,138,1.000,url_added
Western Kentucky University,Bowling Green,KY,Doctor of Physical Therapy,http://www.wku.edu/physicaltherapy/,https://www.wku.edu/physicaltherapy/cost_estimate.php,137,1.000,url_added
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,Doctor of Physical Therapy,https://franu.edu/academics/programs/dpt/index.html,https://franu.edu/academics/academic-programs/physical-therapy,141,1.000,url_added
Louisiana State University Health Sciences Center in New Orleans,New Orleans,LA,Doctor of Physical Therapy,http://alliedhealth.lsuhsc.edu/pt,https://alliedhealth.lsuhsc.edu/pt/admissionrequirements.aspx,139,0.924,url_added
Louisiana State University Health Sciences Center in Shreveport,Shreveport,LA,Doctor of Physical Therapy,https://shps.lsuhs.edu/academics/graduate-programs/doctor-physical-therapy,https://shps.lsuhs.edu/academics/graduate-programs/doctor-physical-therapy/shreveport-residential-program,140,0.923,url_added
Louisiana State University Health Sciences Center in Shreveport (Expansion),Lafayette,LA,DPT,https://shps.lsuhs.edu/academics/graduate-programs/doctor-physical-therapy,https://shps.lsuhs.edu/academics/graduate-programs/doctor-physical-therapy/shreveport-residential-program,140,0.923,url_added
Husson University,Bangor,ME,Doctor of Physical Therapy,https://www.husson.edu/college-of-health-and-pharmacy/school-of-physical-therapy/,https://www.husson.edu/college-of-health/school-of-physical-therapy/pt-job-placement?utm_medium=SEM&utm_source=Google&utm_campaign=physicaltherapygrad_search,143,1.000,url_added
University of New England,Portland,ME,Doctor of Physical Therapy,https://www.une.edu/wchp/pt,https://www.une.edu/wchp/pt,142,1.000,url_added
University of Maryland - Baltimore,Baltimore,MD,Doctor of Physical Therapy,http://pt.umaryland.edu,https://pt.umaryland.edu/Graduate-Outcomes/,144,1.000,url_added
University of Maryland - Eastern Shore,Princess Anne,MD,Doctor of Physical Therapy,https://wwwcp.umes.edu/pt/,https://wwwcp.umes.edu/pt/student-achievements-outcomes/,145,1.000,url_added
