state,program_type,school,pass_rate
New Jersey,OTA Level Program,"Rutgers, The State University of New Jersey",81
New Mexico,OT Masters-Level Programs,University of New Mexico,88
New Mexico,OTA Level Program,"Eastern New Mexico University, Roswell",38
New Mexico,OTA Level Program,San Juan College,100
New York,OT Doctoral-Level Programs,New York Institute of Technology,96
New York,OT Doctoral-Level Programs,Roberts Wesleyan University,100
New York,OT Doctoral-Level Programs,Russell Sage College,100
New York,OT Doctoral-Level Programs,"Yeshiva University, Jack and Pearl Resnick Campus",93
New York,OT Masters-Level Programs,Clarkson University,83
New York,OT Masters-Level Programs,Columbia University,96
New York,OT Masters-Level Programs,D’Youville University,94
New York,OT Masters-Level Programs,Dominican University New York,75
New York,OT Masters-Level Programs,Hofstra University,94
New York,OT Masters-Level Programs,Iona University,80
New York,OT Masters-Level Programs,Ithaca College,94
New York,OT Masters-Level Programs,Keuka College,97
New York,OT Masters-Level Programs,Le Moyne College,83
New York,OT Masters-Level Programs,"Long Island University, Brooklyn",82
New York,OT Masters-Level Programs,Maria College,57
New York,OT Masters-Level Programs,Mercy University,70
New York,OT Masters-Level Programs,Nazareth University,100
New York,OT Masters-Level Programs,New York Institute of Technology,97
New York,OT Masters-Level Programs,New York University,94
New York,OT Masters-Level Programs,Pace University - Westchester Campus,79
New York,OT Masters-Level Programs,Russell Sage College,96
New York,OT Masters-Level Programs,St. Bonaventure University,64
New York,OT Masters-Level Programs,State University of New York Downstate Health Sciences University,97
New York,OT Masters-Level Programs,Stony Brook University,88
New York,OT Masters-Level Programs,Touro University,84
New York,OT Masters-Level Programs,"University at Buffalo, State University of New York",91
New York,OT Masters-Level Programs,Utica University,74
New York,OT Masters-Level Programs,"York College, The City University of New York",71
New York,OTA Level Program,"Bryant & Stratton College, Greece Campus",100
New York,OTA Level Program,"Bryant & Stratton College, Syracuse Campus",100
New York,OTA Level Program,Cayuga Community College,0
New York,OTA Level Program,Erie Community College,100
New York,OTA Level Program,Jamestown Community College,62
New York,OTA Level Program,LaGuardia Community College,52
New York,OTA Level Program,Maria College,50
New York,OTA Level Program,Mercy University,58
New York,OTA Level Program,Orange County Community College,78
New York,OTA Level Program,Rockland Community College,100
New York,OTA Level Program,"Suffolk County Community College, Michael J. Grant Campus",54
New York,OTA Level Program,Villa Maria College,50
North Carolina,OT Doctoral-Level Programs,Duke University School of Medicine,100
North Carolina,OT Doctoral-Level Programs,Methodist University,89
North Carolina,OT Doctoral-Level Programs,Wingate University,100
North Carolina,OT Masters-Level Programs,Cabarrus College of Health Sciences,96
North Carolina,OT Masters-Level Programs,East Carolina University,100
